orig_id,label,youtube_id
11209,salsa dancing,0W_La1V3dwQ
11266,tango dancing,0XBTTkt34iU
11332,square dancing,0Xw6XMNz78c
11398,dancing gangnam style,0YabArljBVg
11465,country line dancing,0ZMbhcY8f0A
11617,belly dancing,0_ugUEZ0L38
11686,tap dancing,0a_1cJMYtxo
11708,dancing gangnam style,0agGZcZYlGs
11851,square dancing,0bks6Pad2_0
11936,dancing gangnam style,0cRSaP17TDU
11952,dancing ballet,0cY_7cOICXU
12101,dancing ballet,0dcravcgC1E
12161,dancing macarena,0e6s5Vn3Qlo
12176,salsa dancing,0eGzfxGUUH8
12229,breakdancing,0egexPWEPxU
12264,tap dancing,0f0sVob1QHU
12266,breakdancing,0f1vKMit9uw
12281,robot dancing,0f6XKv4_ihY
12300,swing dancing,0fC8dt9jS-Q
12302,tap dancing,0fCZ4MW3jYU
12305,jumpstyle dancing,0fDT7w7ftiQ
12328,tap dancing,0fTclAz3oj4
12333,country line dancing,0fVrUF32Dgk
12499,square dancing,0giEtixIGko
12557,swing dancing,0h70fRtN3zI
12577,robot dancing,0hH4xU8I6i8
12596,mosh pit dancing,0hUHagLRaCw
12666,tango dancing,0i0lXCbGZsQ
12673,tango dancing,0i1vm_Cb8K4
12684,robot dancing,0i8-WQwo9AU
12724,robot dancing,0ibtJ4rdGDg
12727,robot dancing,0igA249MkuQ
12733,salsa dancing,0iigPdcQ-Ak
12783,salsa dancing,0j9QZ8LnfCs
12831,dancing charleston,0jVEoopTP00
12913,belly dancing,0k9L30-lmyg
12927,dancing gangnam style,0kHIsNBivPU
12930,breakdancing,0kJZJjRXzd0
13004,dancing ballet,0kvUTKjwcD0
13034,dancing ballet,0l9Qew2AnaU
13123,dancing gangnam style,0lu_Fwcy-Ro
13154,breakdancing,0m7AqgPm_x8
13249,tango dancing,0mt_xF2bLOM
13298,dancing charleston,0nMb-fRkFIo
13339,square dancing,0niDQCNL_rc
13354,robot dancing,0nqdLrsDfGw
13411,tap dancing,0oMQFAurqK4
13413,robot dancing,0oMySewKTYA
13437,robot dancing,0ob0cFRRtCk
13443,robot dancing,0oeYbitjqgw
13475,robot dancing,0ouWzBh8f7E
13484,dancing ballet,0owoOHazQvU
13524,square dancing,0pGWuTn95Ro
13553,square dancing,0pVqHNqYv0Y
13558,tango dancing,0pZHlHeChQI
13662,breakdancing,0qZJ8PfqtAE
13711,square dancing,0r4juSA0CJc
13771,dancing charleston,0rhk4HYpN64
13799,dancing ballet,0rue4bd0gCE
13832,tap dancing,0sAIg5Xn_6E
13844,belly dancing,0sCg3fIcMCA
13876,swing dancing,0sSEhBCxXLM
13912,tap dancing,0so1jmNGlC4
13921,breakdancing,0su0y27YmgY
13931,dancing macarena,0syP-hw59gg
14037,square dancing,0tq2mNwKttI
14080,dancing gangnam style,0uGdiI1Rz_8
14081,tango dancing,0uH3cHAPKYs
14114,dancing charleston,0uajuwVfMJE
14133,dancing gangnam style,0uiOr10aRXg
14163,dancing gangnam style,0v3Z7gpxzoA
14177,belly dancing,0vAdkmqQ9f4
14183,square dancing,0vBQxyYVjlU
14242,dancing gangnam style,0vk-xZUj6A0
14279,tap dancing,0w2gF3RahO8
14296,jumpstyle dancing,0wFFQoS76-M
14316,dancing charleston,0wOCOf4a1Zk
14319,salsa dancing,0wPLaDPfcuY
14321,country line dancing,0wPTgM3_Oyc
14344,salsa dancing,0w_ipjElSuI
14371,breakdancing,0wp3NqFTCBI
14380,swing dancing,0ww_Apkft4M
14381,country line dancing,0wwzMnMQTV0
14558,swing dancing,0ykifSZ0Yo8
14617,dancing macarena,0zF-6j-OHoc
14636,country line dancing,0zOtFy7o8T8
14638,swing dancing,0zPA0P8HwUo
14726,tango dancing,1-DRY484GdY
14731,tap dancing,1-ExYm0tgNA
14780,breakdancing,1-Yd3Py976w
14817,salsa dancing,1-mGbsAV1x8
14828,dancing macarena,1-sLi6oXw5U
14837,mosh pit dancing,1-xQsI1tYXA
14840,dancing macarena,10-Q5QRWkI4
14868,belly dancing,10DaYl4acVI
14991,mosh pit dancing,11B29DHp8Pw
15029,square dancing,11QrlZtbQaQ
15109,dancing charleston,11zeXi6Qujc
15127,square dancing,128_gPLKIp4
15142,dancing ballet,12ENBIFoSKc
15179,robot dancing,12YOxsHwThc
15294,tap dancing,13W_9xdaOZE
15314,square dancing,13d0VQZsxGc
15323,swing dancing,13hb6hWCRjY
15427,breakdancing,14UJmm-H2cw
15432,square dancing,14XPB1NrV7Y
15528,tap dancing,15CFahW4OMc
15607,dancing gangnam style,15j1eatsaqs
15611,mosh pit dancing,15kl_7XzIAU
15621,salsa dancing,15svNnzDX-Q
15658,dancing charleston,169JhNR2IlM
15785,square dancing,17HMRjUV-Go
15849,mosh pit dancing,17jWUZLYi8g
15853,country line dancing,17nRsWXyyVc
15873,tango dancing,181TW2rKGzc
15988,belly dancing,199Og99IfiE
16059,breakdancing,19ixa_zFTlA
16075,dancing gangnam style,19oVaFAvfJs
16119,tango dancing,1AHHCqMbb50
16121,belly dancing,1AH_8mrtqnM
16238,tap dancing,1BDY88KMJDE
16248,jumpstyle dancing,1BJKGFBluqY
16262,dancing macarena,1BR-ep_1S7Y
16266,tango dancing,1BSpQ9stQTg
16276,tango dancing,1BTNiR373PM
16278,tango dancing,1BTUZDVQxqM
16295,jumpstyle dancing,1Bd74ScJKrw
16360,dancing macarena,1C9-jKR0uSE
16371,salsa dancing,1CDdTJ3dRYM
16397,dancing gangnam style,1CSj0vQupTE
16410,salsa dancing,1CYWw1TvrGs
16429,dancing ballet,1Cg4StZK_IA
16454,dancing ballet,1Cw4Q_5YQHU
16527,jumpstyle dancing,1DSNpTTsJJ4
16573,breakdancing,1DxBQKVqBXU
16599,dancing charleston,1E839z6wNFY
16694,swing dancing,1EsownAdaow
16717,country line dancing,1F06-F2BCNw
16793,dancing macarena,1FgzR6wNkbE
16811,square dancing,1FqiK9LNUNk
16828,dancing ballet,1FyZF0M4v-o
16830,swing dancing,1FzHduIcRlk
16878,dancing ballet,1GNJIgDXbRw
16889,jumpstyle dancing,1GUnt-fBiBs
16921,country line dancing,1GlSxPv-a48
16945,country line dancing,1GwbO0BJXHs
16963,breakdancing,1H8XTVEJgPQ
16968,dancing ballet,1HAhF8UZ9MA
17043,jumpstyle dancing,1Hg7vKgybX8
17124,tap dancing,1IJ57WnNI9A
17278,robot dancing,1JY7dqQA4WM
17297,mosh pit dancing,1JenBZl53VM
17298,tango dancing,1Jf6x5ka3gk
17303,breakdancing,1JhfkssvuPQ
17317,jumpstyle dancing,1JnKV12yiac
17386,dancing gangnam style,1KJdjUtt7b4
17387,swing dancing,1KKdgM7-cP0
17424,swing dancing,1K_bnh1R0qw
17438,dancing macarena,1KjypLf0Fcg
17468,tap dancing,1L26a0FRHd8
17484,square dancing,1LAW6N03nZI
17627,swing dancing,1MKo_n4GLmc
17639,tap dancing,1MPJSccFb2c
17653,jumpstyle dancing,1MWEfxUX6KA
17766,tap dancing,1NLdVJXpHFA
17805,swing dancing,1NjhcQ1ehl4
17820,jumpstyle dancing,1NrqiS3WCSU
17899,dancing gangnam style,1OTbLEzgBD8
17933,jumpstyle dancing,1OieYK3ieno
17970,salsa dancing,1P8I9GW4c44
18054,mosh pit dancing,1Q7c4jHnXtg
18174,dancing macarena,1QvF3Ep3VbY
18228,dancing macarena,1RRMmfWyKFE
18231,square dancing,1RSY3XZvpiI
18241,mosh pit dancing,1RYyaxu1rdI
18244,salsa dancing,1R_IHuxNafo
18285,tap dancing,1RwYjO1dKhk
18287,swing dancing,1RxHuRsDYJ4
18495,dancing gangnam style,1TvT1hwVBQ4
18496,belly dancing,1Tws7lTw_L8
18509,tango dancing,1U0ivX4q_6c
18526,breakdancing,1U5hyqbUP_0
18546,tap dancing,1UHpOrualJc
18548,tap dancing,1UI-iX2Xsq8
18569,dancing charleston,1UXectcrQ-Q
18652,tap dancing,1VGuIhMlXD4
18690,dancing ballet,1Vc8VoPt_g8
18737,tap dancing,1W0UMeQUbV0
18852,salsa dancing,1Wz0zEDoF1A
18898,breakdancing,1XV1MMy0yAI
18912,dancing macarena,1XanTenxBNM
18919,jumpstyle dancing,1Xg2p28x4ik
18963,jumpstyle dancing,1Y4QTXAe-Ow
19025,breakdancing,1YbLsCfZh6o
19028,robot dancing,1Yd1cBWSAT8
19030,mosh pit dancing,1YdOvJuhLMc
19042,tango dancing,1YkEk1fa3OM
19084,dancing gangnam style,1Z6s63RMNUk
19118,robot dancing,1ZbGls61TdY
19178,tap dancing,1_IZlvdSwfQ
19196,dancing ballet,1_X0TrGcBt4
19228,dancing gangnam style,1_ndgBHVimY
19231,tap dancing,1_nxfkY76mk
19380,belly dancing,1bI0AiGJCWE
19384,swing dancing,1bJ9DvX-NiM
19570,dancing gangnam style,1cp92qNCQJs
19641,belly dancing,1dR4RFrcGNo
19653,square dancing,1dXC8vSAN2Y
19675,dancing charleston,1dhbh3JUe_o
19679,dancing gangnam style,1di4dSvCusw
19697,swing dancing,1dn2BGQIolQ
19734,dancing gangnam style,1e9Qet0qudc
19808,belly dancing,1envheMuhqk
19816,dancing macarena,1etxBg1tLic
19921,dancing charleston,1fiHecw9rLU
19924,country line dancing,1fkWGz4BxL0
19964,square dancing,1g4O7ZpudnU
20010,country line dancing,1gTcuz4d60Y
20039,belly dancing,1glQafnTBQs
20042,square dancing,1gmDVbxrkWU
20067,mosh pit dancing,1gwhKlcguJk
20071,dancing macarena,1gxqMEXOh2M
20109,salsa dancing,1hFbhQWMb5E
20243,country line dancing,1iKNzAgwoSc
20284,jumpstyle dancing,1ifxNTFlivc
20339,dancing macarena,1jCGSI96EjQ
20359,dancing ballet,1jNw6TUXpqQ
20369,jumpstyle dancing,1jS6b6tduXs
20381,country line dancing,1jYYoi7tdcU
20407,salsa dancing,1jqJlt-jSaE
20410,breakdancing,1jrOYFn-WZU
20419,dancing charleston,1k-L8Tq4HX4
20531,dancing gangnam style,1kv91EC5hy4
20577,breakdancing,1lHjksWYFz0
20636,dancing macarena,1lo3oq7RFYo
20657,dancing ballet,1m-2ho9su28
20790,dancing gangnam style,1mx_AUudDM0
20827,jumpstyle dancing,1nNsdYYnXFw
20842,tap dancing,1nc-czz70X0
20876,square dancing,1no7xi4j0Lo
20880,swing dancing,1npAipma_Eg
20957,mosh pit dancing,1oPp9EJRpw0
20965,dancing ballet,1oSL7Od5Km0
21014,swing dancing,1omRqbWEauQ
21034,breakdancing,1ouIOTrmUUo
21084,tap dancing,1pNdXcMQX_8
21091,salsa dancing,1pOt6qdepZk
21117,robot dancing,1pczO2o2ylE
21161,tango dancing,1q180FZ4NFs
21178,dancing charleston,1q78VQqIUbI
21191,dancing gangnam style,1qCUjYnLN80
21217,robot dancing,1qRLeo9g8LM
21237,swing dancing,1qZzsjxh6dQ
21304,mosh pit dancing,1r6E-w8rFoY
21391,country line dancing,1rsLh2kG96A
21404,tap dancing,1rxpVuUORA0
21611,dancing gangnam style,1twI7X42INw
21660,jumpstyle dancing,1uQLbH1e0P0
21676,mosh pit dancing,1ua0EHTonwg
21707,dancing gangnam style,1uvRu83ujCM
21717,swing dancing,1v01TyTHkwE
21775,square dancing,1vdEB6RdFpA
21777,salsa dancing,1veV95LuUI8
21828,dancing charleston,1vwKIFJ9Fso
21990,dancing macarena,1xUmKp0rsSo
22010,tango dancing,1xfpCg-DmMw
22013,dancing ballet,1xgRad-jeI8
22082,breakdancing,1yUEM9Cxe_I
22083,belly dancing,1yUgOtVKDCM
22093,dancing charleston,1y_Eyubx0gY
22166,mosh pit dancing,1zKvaFx5-j4
22198,dancing charleston,1zfZ8hKSMq4
22203,belly dancing,1zjHVf-iNBA
22238,swing dancing,2-3oGVo1Pdg
22247,tap dancing,2-7mzQNH-70
22286,dancing gangnam style,2-PUtLb5tUY
22359,country line dancing,2-uEMvuxMp4
22467,swing dancing,20mnWo6jXGQ
22487,jumpstyle dancing,20tIPYA74Eg
22563,jumpstyle dancing,21WlLdWZf4c
22647,dancing gangnam style,226PNWYIkTM
22755,dancing charleston,22urrEVHrTM
22761,breakdancing,22xPIL-UZd8
22787,breakdancing,23Bsv3yBVcc
22916,tap dancing,24Kl2Vze2Pg
22936,dancing ballet,24TdIOpP0i0
22938,country line dancing,24U3teH3aHY
22940,belly dancing,24UcgOLD9N8
22981,breakdancing,24pUFYUftD0
23008,swing dancing,251wyvjOdjA
23048,tango dancing,25IOmYPCwOA
23140,square dancing,260UemWzAZs
23164,square dancing,269s-9415eM
23185,breakdancing,26N6Bb2d9qY
23228,swing dancing,26kR-z7IrPA
23234,swing dancing,26n7NAwohfI
23239,dancing macarena,26ombvbnKCE
23242,jumpstyle dancing,26qILN4NYLQ
23270,tap dancing,27AN7phBDpc
23386,square dancing,281lLcnAu2Y
23496,jumpstyle dancing,28v4fJ5hs-I
23499,swing dancing,28wck-DINFs
23516,breakdancing,291j0jPlNNM
23557,breakdancing,29LWQBYKZIQ
23704,robot dancing,2AhR-MZYdBc
23765,salsa dancing,2BBucOyNKA8
23832,dancing gangnam style,2Bo9UjQvj-E
23848,tap dancing,2BuzCWHJhzA
23891,jumpstyle dancing,2CED5xqlsMs
23932,dancing charleston,2CYfw_N6S_0
23935,tango dancing,2CaJZxWBfVU
23938,jumpstyle dancing,2Cbyjv0gRPs
24012,country line dancing,2DNG46ZD9Ss
24100,tango dancing,2E0GhsSFXKY
24102,dancing ballet,2E0W5lPwTdc
24243,jumpstyle dancing,2Ey2bUzbDzo
24255,tap dancing,2F0szQFICic
24256,breakdancing,2F1CY4sDbLE
24288,robot dancing,2FGQ1D036ow
24377,tap dancing,2Fi0LWv3T_g
24414,belly dancing,2G2KdKqaGv8
24432,mosh pit dancing,2GE5P8hxWno
24457,dancing ballet,2GJMEOzasO0
24467,dancing macarena,2GNEKMAPBr0
24642,breakdancing,2HdCW2-ydTw
24681,tap dancing,2HurNPlnuSk
24691,square dancing,2HyKux69Pdw
24694,tap dancing,2I-_WiMyRXk
24807,country line dancing,2J5SObsWZvk
24816,swing dancing,2JBXDfwXpOs
24832,robot dancing,2JKgIbicp34
24855,dancing ballet,2JW5PxNWxnw
24859,robot dancing,2JYPYvz22fo
24873,jumpstyle dancing,2Jd8rzQ1G68
24891,salsa dancing,2JlC8lGuwms
24945,dancing macarena,2KGVKSACLUs
24955,dancing charleston,2KMV20xxE_o
24976,salsa dancing,2KSPdfGBL78
24983,tap dancing,2KVH9jCJrEA
25007,swing dancing,2KeONYo3h6g
25035,belly dancing,2KtM3HZWRgk
25038,belly dancing,2KtpAt1oYkY
25041,dancing ballet,2Kx4gvs6Aos
25082,dancing charleston,2LIzOai2QL8
25195,swing dancing,2MGZpRsKezo
25224,robot dancing,2MVndONf9Fg
25251,robot dancing,2MgdIxEXPjw
25275,salsa dancing,2MxNEye5B1A
25302,salsa dancing,2N9q7f3xcfc
25381,square dancing,2NtQ1PlouZQ
25382,dancing ballet,2Nu-PSBJ70M
25422,mosh pit dancing,2OIiC7cyeKE
25484,robot dancing,2OqTumB_fDA
25531,square dancing,2PDYXS25ht0
25550,belly dancing,2PM9jMPwH8o
25558,dancing ballet,2POLGqD764w
